New constituency name,Total population,Number of households,,Aged 15 years and under,Aged 16 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 years and over,,United Kingdom,Ireland,Other Europe,Africa,Middle East and Asia,Americas and the Caribbean,Australasia and others,,White British,Other White,Asian / Asian British,Black / Black British,Mixed / Multiple ethnic groups,Other ethnic groups,,No religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,Not answered,,Owned outright,Owned with a mortgage or loan,Private rented,Social rented,Other tenure
Halesowen,"94,700","39,800",,19.3%,9.5%,13.3%,18.6%,19.3%,19.9%,,91.9%,0.3%,2.0%,0.9%,4.5%,0.4%,0.1%,,80.2%,2.2%,9.2%,2.4%,3.3%,2.6%,,36.7%,46.7%,0.2%,0.5%,0.0%,7.8%,1.9%,0.4%,5.7%,,36.4%,30.7%,14.2%,18.0%,0.7%
Halifax,"108,000","45,600",,20.9%,10.0%,13.3%,19.3%,19.4%,17.2%,,87.7%,0.5%,3.5%,0.8%,7.1%,0.3%,0.1%,,74.0%,3.8%,18.1%,0.9%,2.0%,1.1%,,37.8%,38.5%,0.2%,0.9%,0.1%,16.6%,0.2%,0.4%,5.3%,,31.7%,28.6%,22.5%,16.9%,0.4%
Hamble Valley,"102,000","42,400",,18.9%,8.6%,12.1%,19.6%,21.3%,19.6%,,92.5%,0.3%,3.2%,1.4%,1.8%,0.6%,0.3%,,91.2%,3.7%,2.2%,0.7%,1.7%,0.5%,,44.4%,48.0%,0.3%,0.5%,0.1%,0.6%,0.2%,0.4%,5.6%,,36.5%,38.0%,14.1%,9.7%,1.7%
Hammersmith and Chiswick,"116,000","52,200",,16.2%,11.1%,20.5%,22.9%,17.5%,11.9%,,54.8%,1.8%,18.4%,6.8%,10.7%,5.9%,1.6%,,38.8%,24.6%,11.0%,11.2%,7.0%,7.5%,,32.3%,43.3%,1.1%,1.5%,0.8%,11.6%,0.4%,0.7%,8.3%,,17.7%,18.3%,36.0%,26.5%,1.5%
Hampstead and Highgate,"117,000","53,000",,16.6%,9.8%,20.1%,23.4%,16.9%,13.1%,,55.2%,1.5%,17.4%,5.7%,12.1%,6.5%,1.6%,,38.7%,26.8%,13.7%,7.0%,6.6%,7.2%,,35.1%,32.3%,1.1%,2.4%,7.6%,11.5%,0.2%,1.0%,8.8%,,19.9%,17.5%,38.6%,23.0%,0.9%
"Harborough, Oadby and Wigston","101,000","41,000",,18.0%,10.0%,11.3%,18.8%,20.1%,21.8%,,85.7%,0.4%,3.3%,3.8%,6.0%,0.6%,0.2%,,71.6%,3.7%,18.1%,1.6%,2.8%,2.2%,,34.1%,40.8%,0.3%,6.7%,0.2%,6.8%,4.8%,0.5%,5.6%,,41.6%,32.9%,15.5%,8.6%,1.4%
Harlow,"111,000","45,100",,20.8%,9.4%,14.4%,20.5%,19.0%,15.9%,,83.3%,0.6%,8.4%,3.3%,3.5%,0.8%,0.1%,,75.2%,9.2%,5.3%,5.4%,3.1%,1.7%,,42.4%,46.2%,0.4%,0.9%,0.4%,3.5%,0.1%,0.6%,5.5%,,25.9%,31.5%,15.2%,26.1%,1.4%
Harpenden and Berkhamsted,"95,100","38,500",,21.3%,7.8%,8.4%,21.3%,21.3%,19.9%,,88.9%,0.9%,3.8%,2.0%,2.2%,1.5%,0.8%,,85.0%,6.7%,3.2%,1.1%,3.1%,0.8%,,39.3%,50.9%,0.5%,0.9%,0.7%,1.1%,0.3%,0.4%,6.0%,,39.2%,36.2%,12.9%,11.3%,0.5%
Harrogate and Knaresborough,"101,000","45,000",,16.8%,9.0%,11.0%,19.1%,21.9%,22.2%,,89.8%,0.4%,4.7%,1.0%,2.0%,1.6%,0.3%,,89.2%,5.7%,2.1%,0.7%,1.8%,0.6%,,37.9%,53.4%,0.3%,0.3%,0.2%,0.7%,0.1%,0.4%,6.7%,,39.0%,30.5%,19.5%,10.0%,1.0%
Harrow East,"118,000","38,800",,18.7%,10.6%,15.1%,21.2%,17.7%,16.7%,,46.5%,1.2%,17.5%,12.0%,21.0%,1.6%,0.2%,,17.9%,18.5%,46.5%,6.8%,2.9%,7.3%,,7.6%,33.8%,0.8%,28.0%,4.3%,15.1%,0.6%,3.9%,5.9%,,33.3%,27.3%,27.8%,10.3%,1.3%
Harrow West,"121,000","42,200",,20.5%,10.7%,16.3%,23.4%,16.7%,12.5%,,46.2%,1.2%,15.1%,8.8%,26.0%,2.3%,0.2%,,18.2%,16.1%,44.6%,8.7%,4.5%,7.9%,,11.8%,35.3%,1.3%,24.3%,0.5%,17.8%,1.2%,1.8%,6.0%,,24.4%,27.5%,34.8%,11.7%,1.6%
Hartlepool,"92,300","40,900",,19.1%,9.9%,12.3%,17.3%,21.7%,19.8%,,96.0%,0.1%,1.5%,0.5%,1.5%,0.2%,0.1%,,95.0%,1.4%,1.7%,0.5%,0.7%,0.6%,,40.1%,52.5%,0.2%,0.2%,0.0%,1.3%,0.2%,0.3%,5.2%,,31.2%,27.0%,17.5%,23.5%,0.8%
Harwich and North Essex,"98,100","42,000",,16.7%,10.8%,10.3%,17.2%,21.0%,24.1%,,92.7%,0.4%,3.3%,1.1%,1.6%,0.6%,0.2%,,90.3%,3.7%,1.9%,1.5%,1.9%,0.7%,,44.0%,47.4%,0.4%,0.4%,0.2%,0.9%,0.1%,0.5%,6.3%,,41.8%,30.4%,17.2%,10.0%,0.6%
Hastings and Rye,"105,000","46,900",,17.2%,8.8%,11.8%,18.1%,22.0%,22.1%,,89.2%,0.5%,5.0%,1.4%,2.6%,0.9%,0.4%,,86.0%,6.0%,2.6%,1.3%,2.7%,1.4%,,50.0%,39.6%,0.6%,0.5%,0.2%,1.7%,0.0%,0.8%,6.6%,,33.9%,24.6%,26.7%,14.2%,0.6%
Havant,"95,000","40,800",,17.6%,8.8%,11.5%,16.8%,21.6%,23.7%,,93.5%,0.3%,2.9%,1.0%,1.6%,0.5%,0.2%,,92.9%,2.8%,1.7%,0.6%,1.5%,0.4%,,47.8%,44.8%,0.3%,0.3%,0.1%,0.5%,0.1%,0.5%,5.6%,,37.7%,28.3%,12.6%,20.4%,1.0%
Hayes and Harlington,"126,000","41,400",,22.9%,11.3%,15.7%,23.4%,16.5%,10.2%,,51.6%,0.7%,9.8%,7.4%,28.8%,1.6%,0.2%,,22.5%,9.6%,44.5%,11.0%,3.9%,8.6%,,13.2%,32.5%,0.9%,11.8%,0.1%,20.0%,15.8%,0.7%,4.9%,,20.1%,26.7%,31.3%,20.0%,1.8%
Hazel Grove,"94,500","41,100",,17.8%,8.1%,11.5%,18.6%,20.7%,23.3%,,94.6%,0.5%,1.8%,0.7%,1.9%,0.4%,0.2%,,91.8%,2.6%,2.5%,0.6%,1.8%,0.6%,,41.0%,51.0%,0.3%,0.3%,0.1%,1.4%,0.1%,0.3%,5.4%,,41.0%,33.9%,11.6%,12.2%,1.3%
Hemel Hempstead,"103,000","41,800",,20.5%,8.9%,14.7%,21.3%,18.8%,15.8%,,83.2%,0.8%,7.3%,3.0%,4.3%,1.1%,0.2%,,74.3%,9.1%,7.6%,3.9%,3.7%,1.4%,,40.7%,45.1%,0.4%,2.1%,0.5%,4.4%,0.2%,0.5%,6.0%,,26.8%,32.0%,15.1%,25.3%,0.8%
Hendon,"131,000","48,200",,20.8%,11.5%,17.3%,23.0%,15.8%,11.6%,,50.4%,1.0%,19.2%,8.6%,18.2%,2.4%,0.2%,,27.6%,22.1%,23.8%,11.1%,5.0%,10.5%,,15.4%,36.7%,1.3%,6.8%,14.2%,16.5%,0.3%,1.2%,7.7%,,20.7%,23.9%,35.4%,18.1%,1.8%
Henley and Thame,"95,200","39,400",,17.9%,8.1%,9.9%,18.9%,21.9%,23.2%,,88.5%,0.6%,4.7%,1.9%,2.1%,1.5%,0.6%,,87.6%,6.5%,2.2%,0.7%,2.3%,0.7%,,39.2%,52.3%,0.4%,0.4%,0.2%,0.8%,0.2%,0.4%,6.1%,,41.6%,30.9%,15.3%,11.1%,1.1%
Hereford and South Herefordshire,"96,500","42,800",,16.9%,8.8%,11.8%,17.7%,21.6%,23.2%,,89.6%,0.3%,6.9%,0.8%,1.7%,0.5%,0.3%,,89.1%,7.2%,1.5%,0.4%,1.2%,0.7%,,37.4%,53.7%,0.3%,0.3%,0.1%,0.5%,0.1%,0.5%,7.2%,,38.8%,24.9%,19.5%,15.9%,1.0%
Herne Bay and Sandwich,"99,000","43,300",,16.1%,8.4%,10.1%,16.5%,21.6%,27.2%,,93.6%,0.5%,2.8%,0.9%,1.5%,0.5%,0.2%,,92.0%,3.3%,1.7%,0.6%,1.7%,0.6%,,41.0%,51.0%,0.4%,0.4%,0.2%,0.7%,0.1%,0.5%,5.7%,,43.4%,28.7%,18.2%,8.8%,0.9%
Hertford and Stortford,"106,000","44,200",,19.5%,8.7%,13.2%,21.4%,20.0%,17.2%,,87.3%,0.8%,6.5%,1.7%,2.3%,1.1%,0.4%,,82.0%,8.9%,3.3%,1.6%,3.2%,1.1%,,42.5%,47.8%,0.4%,0.7%,0.4%,1.5%,0.2%,0.5%,6.0%,,32.6%,35.3%,17.6%,12.9%,1.6%
Hertsmere,"106,000","41,900",,19.8%,9.4%,11.6%,21.0%,19.7%,18.5%,,77.8%,1.1%,9.6%,4.5%,5.4%,1.4%,0.3%,,64.0%,14.0%,9.6%,4.8%,3.7%,3.9%,,24.1%,42.7%,0.6%,4.5%,16.9%,3.6%,0.2%,1.0%,6.5%,,32.1%,33.1%,16.8%,16.8%,1.1%
Hexham,"92,100","41,300",,15.7%,7.7%,8.7%,16.9%,23.9%,27.1%,,95.7%,0.2%,1.5%,0.6%,1.4%,0.4%,0.2%,,94.8%,1.9%,1.8%,0.2%,0.9%,0.3%,,36.8%,55.6%,0.3%,0.4%,0.1%,0.6%,0.4%,0.5%,5.3%,,42.5%,27.3%,15.5%,14.1%,0.6%
Heywood and Middleton North,"100,000","41,700",,21.2%,9.5%,13.5%,18.8%,19.4%,17.5%,,87.4%,0.7%,4.3%,2.5%,4.7%,0.3%,0.1%,,77.6%,4.4%,10.5%,3.9%,2.4%,1.2%,,31.6%,52.3%,0.2%,0.3%,0.1%,10.4%,0.1%,0.3%,4.8%,,30.5%,30.1%,17.5%,21.2%,0.7%
High Peak,"90,900","40,800",,16.8%,8.4%,11.2%,18.0%,23.7%,21.8%,,95.8%,0.4%,1.8%,0.5%,0.8%,0.4%,0.2%,,94.8%,2.7%,0.8%,0.2%,1.3%,0.2%,,44.4%,48.5%,0.4%,0.1%,0.1%,0.3%,0.0%,0.5%,5.7%,,40.1%,30.8%,16.1%,12.2%,0.8%
Hinckley and Bosworth,"98,500","42,800",,17.3%,8.3%,12.3%,18.8%,21.4%,21.9%,,93.9%,0.3%,3.3%,0.8%,1.2%,0.4%,0.1%,,91.4%,3.6%,2.3%,0.6%,1.7%,0.5%,,41.6%,50.4%,0.2%,0.8%,0.0%,0.6%,0.5%,0.5%,5.3%,,39.0%,34.6%,14.9%,10.6%,0.9%
Hitchin,"98,700","40,800",,20.1%,8.2%,12.4%,22.0%,19.8%,17.4%,,89.7%,0.6%,3.7%,1.7%,2.8%,1.1%,0.3%,,82.6%,5.4%,4.8%,2.3%,3.7%,1.1%,,45.5%,43.6%,0.4%,1.1%,0.2%,1.5%,1.5%,0.5%,5.6%,,32.5%,36.0%,15.1%,14.7%,1.7%
Holborn and St Pancras,"106,000","45,500",,14.0%,20.3%,20.2%,19.0%,15.8%,10.7%,,55.2%,1.4%,15.7%,6.5%,14.6%,5.4%,1.2%,,33.6%,21.2%,21.7%,10.6%,6.8%,6.0%,,35.1%,30.6%,1.1%,1.4%,2.0%,19.7%,0.2%,0.8%,9.0%,,12.6%,10.7%,32.2%,43.3%,1.2%
Honiton and Sidmouth,"91,700","41,200",,15.0%,7.4%,8.6%,15.2%,22.0%,31.8%,,93.8%,0.3%,2.9%,0.9%,1.3%,0.6%,0.3%,,94.2%,3.2%,1.0%,0.2%,1.1%,0.3%,,40.8%,51.0%,0.4%,0.1%,0.1%,0.4%,0.0%,0.5%,6.7%,,48.9%,23.8%,15.9%,10.1%,1.3%
Hornchurch and Upminster,"108,000","42,000",,19.7%,9.5%,12.7%,19.9%,19.1%,19.0%,,83.7%,0.8%,6.8%,3.5%,4.2%,0.9%,0.2%,,72.1%,7.8%,8.3%,6.9%,3.3%,1.6%,,32.0%,53.6%,0.4%,2.3%,0.4%,4.0%,1.5%,0.4%,5.3%,,36.1%,34.6%,13.0%,15.5%,0.8%
Hornsey and Friern Barnet,"103,000","43,600",,18.0%,8.6%,17.4%,25.1%,18.5%,12.4%,,63.8%,1.6%,18.2%,4.5%,5.9%,4.8%,1.2%,,45.6%,24.1%,8.3%,8.1%,7.4%,6.4%,,41.9%,34.1%,0.9%,1.9%,4.1%,7.6%,0.4%,1.4%,7.7%,,22.3%,26.8%,33.9%,15.6%,1.4%
Horsham,"104,000","43,500",,18.7%,8.6%,12.1%,19.7%,21.2%,19.7%,,88.4%,0.5%,4.6%,2.1%,2.9%,1.1%,0.4%,,86.3%,6.1%,3.4%,1.1%,2.4%,0.7%,,43.0%,47.9%,0.4%,0.7%,0.2%,1.1%,0.1%,0.5%,6.2%,,35.9%,34.8%,15.6%,11.7%,1.9%
Houghton and Sunderland South,"100,000","44,800",,17.8%,9.1%,12.9%,17.8%,21.7%,20.7%,,97.3%,0.1%,1.2%,0.5%,0.7%,0.2%,0.1%,,96.3%,1.2%,0.9%,0.5%,0.8%,0.3%,,39.7%,54.8%,0.1%,0.1%,0.0%,0.4%,0.3%,0.3%,4.3%,,31.6%,28.3%,11.6%,28.1%,0.4%
Hove and Portslade,"102,000","46,100",,16.7%,9.3%,15.2%,23.5%,20.0%,15.3%,,80.2%,0.8%,8.9%,3.1%,4.2%,2.1%,0.6%,,74.1%,11.6%,4.3%,1.5%,4.7%,3.8%,,52.0%,34.1%,0.8%,0.7%,1.4%,3.4%,0.1%,1.0%,6.5%,,25.8%,29.2%,33.1%,11.0%,0.8%
Huddersfield,"112,000","46,300",,20.1%,13.2%,13.7%,19.0%,18.1%,16.0%,,79.8%,0.6%,4.5%,2.6%,10.8%,1.6%,0.1%,,56.7%,5.1%,23.2%,6.4%,5.4%,3.3%,,33.1%,35.8%,0.3%,0.6%,0.0%,21.6%,2.0%,0.5%,5.9%,,30.9%,25.4%,24.1%,18.9%,0.7%
Huntingdon,"108,000","45,700",,17.8%,8.5%,12.9%,19.8%,20.9%,20.1%,,85.6%,0.5%,6.9%,1.8%,2.8%,2.2%,0.3%,,83.0%,8.2%,3.9%,1.8%,2.4%,0.7%,,42.8%,47.7%,0.4%,0.5%,0.1%,1.9%,0.2%,0.5%,5.9%,,36.0%,32.4%,17.5%,12.6%,1.5%
Hyndburn,"94,000","39,700",,20.2%,10.1%,13.4%,18.3%,19.8%,18.2%,,91.0%,0.3%,2.6%,0.4%,5.4%,0.2%,0.1%,,79.4%,3.0%,15.4%,0.3%,1.3%,0.6%,,29.1%,50.1%,0.2%,0.1%,0.0%,14.8%,0.0%,0.4%,5.2%,,34.3%,29.0%,22.8%,13.7%,0.3%
Ilford North,"119,000","39,000",,21.1%,11.2%,15.2%,22.8%,16.8%,12.9%,,55.4%,0.4%,13.8%,5.5%,23.5%,1.4%,0.1%,,20.9%,12.1%,50.4%,7.5%,3.5%,5.7%,,10.0%,29.2%,0.6%,14.3%,3.4%,30.6%,5.2%,0.8%,5.9%,,28.1%,32.2%,27.2%,11.2%,1.3%
Ilford South,"131,000","40,000",,24.7%,12.4%,15.6%,23.1%,14.6%,9.5%,,50.0%,0.5%,12.5%,6.8%,28.4%,1.7%,0.1%,,12.2%,9.8%,57.6%,11.1%,3.5%,5.8%,,7.6%,25.9%,0.4%,10.8%,0.3%,41.4%,8.0%,0.5%,5.1%,,21.9%,25.9%,36.9%,13.9%,1.4%
Ipswich,"115,000","49,300",,19.8%,10.5%,15.0%,20.8%,17.9%,16.0%,,80.8%,0.3%,10.9%,2.1%,4.6%,1.2%,0.1%,,73.1%,10.3%,5.9%,3.7%,4.7%,2.2%,,44.9%,42.2%,0.4%,1.1%,0.1%,4.0%,0.3%,0.6%,6.4%,,27.0%,26.4%,25.1%,20.7%,0.8%
Isle of Wight East,"69,600","33,000",,14.0%,7.6%,8.9%,14.9%,23.5%,31.2%,,93.9%,0.5%,2.9%,0.8%,1.1%,0.6%,0.2%,,93.7%,3.5%,1.0%,0.2%,1.3%,0.2%,,42.9%,48.7%,0.3%,0.2%,0.1%,0.3%,0.0%,0.8%,6.6%,,46.0%,21.4%,21.7%,10.2%,0.7%
Isle of Wight West,"70,900","31,800",,15.7%,8.0%,11.0%,16.1%,22.0%,27.3%,,93.9%,0.4%,2.6%,0.9%,1.5%,0.6%,0.3%,,93.8%,2.9%,1.4%,0.4%,1.1%,0.3%,,45.0%,46.7%,0.4%,0.2%,0.1%,0.5%,0.0%,0.8%,6.4%,,42.6%,25.3%,19.6%,11.6%,1.0%
Islington North,"110,000","48,200",,16.0%,11.1%,25.5%,22.4%,15.6%,9.3%,,61.8%,2.0%,16.1%,6.8%,5.9%,5.6%,1.7%,,39.9%,22.0%,8.6%,14.6%,7.7%,7.3%,,41.4%,33.7%,0.8%,0.9%,1.4%,12.4%,0.3%,1.4%,7.7%,,12.1%,17.1%,31.3%,37.7%,1.8%
Islington South and Finsbury,"116,000","52,300",,14.5%,13.7%,26.4%,20.8%,15.2%,9.3%,,58.4%,1.7%,16.8%,6.0%,8.1%,6.3%,2.5%,,39.4%,22.9%,11.1%,12.3%,7.3%,7.0%,,40.5%,35.5%,0.8%,1.1%,1.1%,11.4%,0.3%,1.3%,7.9%,,11.1%,13.5%,31.2%,42.0%,2.3%
Jarrow and Gateshead East,"93,800","42,700",,18.4%,9.0%,13.1%,18.3%,21.4%,19.9%,,95.6%,0.1%,1.8%,0.6%,1.6%,0.2%,0.1%,,94.0%,1.8%,1.6%,0.7%,1.0%,0.9%,,39.5%,53.9%,0.2%,0.2%,0.0%,1.4%,0.2%,0.3%,4.3%,,27.2%,26.9%,12.1%,33.5%,0.4%
Keighley and Ilkley,"99,400","41,900",,19.6%,9.4%,11.6%,18.6%,20.1%,20.6%,,89.9%,0.4%,2.7%,0.5%,5.9%,0.4%,0.2%,,76.9%,3.2%,16.8%,0.5%,1.8%,0.8%,,35.6%,42.1%,0.2%,0.3%,0.1%,15.7%,0.1%,0.5%,5.4%,,38.9%,30.5%,19.8%,10.1%,0.7%
Kenilworth and Southam,"93,700","39,400",,16.7%,10.0%,10.3%,17.8%,21.7%,23.5%,,91.2%,0.5%,3.4%,1.1%,2.5%,0.9%,0.3%,,88.2%,4.7%,3.6%,0.8%,2.0%,0.6%,,37.4%,53.4%,0.3%,0.9%,0.1%,0.8%,0.9%,0.4%,5.8%,,42.4%,33.2%,12.5%,10.4%,1.5%
Kensington and Bayswater,"133,000","62,500",,13.7%,12.6%,19.4%,22.0%,19.3%,13.0%,,44.3%,1.2%,23.3%,6.7%,14.4%,8.6%,1.6%,,30.3%,31.1%,13.0%,8.0%,6.9%,10.6%,,26.7%,45.2%,1.2%,1.2%,1.9%,12.6%,0.2%,0.7%,10.3%,,18.7%,11.5%,42.5%,26.0%,1.2%
Kettering,"111,000","46,200",,19.7%,9.1%,13.3%,20.1%,19.5%,18.2%,,86.1%,0.4%,7.6%,2.3%,2.7%,0.7%,0.1%,,82.3%,7.9%,4.1%,2.7%,2.0%,1.0%,,42.8%,47.3%,0.3%,0.9%,0.1%,1.4%,1.0%,0.5%,5.7%,,32.1%,33.3%,19.6%,13.4%,1.6%
Kingston and Surbiton,"115,000","45,700",,18.8%,11.8%,14.9%,23.4%,17.4%,13.7%,,67.9%,1.0%,11.7%,3.9%,12.5%,2.4%,0.7%,,55.9%,14.6%,16.1%,3.0%,5.3%,5.1%,,35.8%,42.6%,1.0%,4.8%,0.4%,6.9%,0.8%,0.7%,7.1%,,26.5%,32.6%,28.3%,11.8%,0.8%
Kingston upon Hull East,"103,000","44,000",,20.8%,10.2%,14.4%,18.3%,19.4%,16.9%,,93.4%,0.1%,4.5%,0.7%,1.1%,0.2%,0.1%,,91.7%,4.4%,1.3%,0.8%,1.2%,0.6%,,53.6%,38.4%,0.2%,0.2%,0.1%,1.2%,0.1%,0.3%,6.0%,,24.6%,26.3%,17.8%,30.3%,0.9%
Kingston upon Hull North and Cottingham,"116,000","49,100",,18.9%,13.8%,14.8%,19.2%,17.7%,15.6%,,84.0%,0.2%,9.9%,1.9%,3.5%,0.4%,0.1%,,80.3%,9.2%,3.7%,2.4%,2.0%,2.4%,,45.8%,41.9%,0.3%,0.3%,0.1%,4.6%,0.1%,0.5%,6.5%,,26.3%,26.1%,25.0%,22.0%,0.6%
Kingston upon Hull West and Haltemprice,"105,000","47,600",,18.1%,9.4%,14.5%,18.6%,20.3%,19.1%,,88.2%,0.2%,6.9%,1.3%,3.0%,0.3%,0.1%,,85.6%,6.7%,2.7%,1.6%,1.6%,1.9%,,44.9%,44.4%,0.3%,0.3%,0.1%,3.2%,0.1%,0.4%,6.3%,,29.3%,27.7%,22.7%,19.4%,0.9%
Kingswinford and South Staffordshire,"88,500","38,400",,15.6%,8.3%,10.0%,16.7%,22.5%,26.9%,,96.8%,0.3%,1.0%,0.4%,1.1%,0.3%,0.1%,,92.9%,1.4%,2.7%,0.6%,1.9%,0.5%,,32.3%,59.5%,0.2%,0.5%,0.0%,0.5%,1.4%,0.4%,5.2%,,46.9%,31.0%,10.5%,11.0%,0.5%
Knowsley,"93,600","40,200",,19.8%,10.0%,14.5%,17.9%,21.0%,16.7%,,94.8%,0.3%,2.6%,0.6%,1.0%,0.6%,0.0%,,92.7%,3.2%,1.2%,0.8%,1.6%,0.5%,,26.9%,67.0%,0.2%,0.2%,0.1%,0.6%,0.0%,0.2%,4.9%,,26.7%,29.3%,15.5%,27.5%,1.0%
Lancaster and Wyre,"96,800","39,200",,15.3%,18.5%,11.4%,16.3%,18.9%,19.7%,,89.4%,0.3%,4.5%,1.2%,3.7%,0.7%,0.2%,,86.1%,5.2%,4.8%,1.1%,1.8%,1.0%,,36.7%,52.2%,0.4%,0.6%,0.1%,2.4%,0.1%,0.6%,6.8%,,38.8%,28.2%,20.2%,11.5%,1.3%
Leeds Central and Headingley,"106,000","39,600",,10.8%,42.0%,17.7%,12.8%,9.0%,7.8%,,76.7%,0.5%,6.1%,4.0%,10.7%,1.7%,0.2%,,63.8%,7.3%,13.2%,6.2%,4.9%,4.6%,,47.9%,29.0%,0.6%,1.7%,0.7%,9.9%,0.7%,0.8%,8.7%,,15.2%,16.7%,44.8%,22.6%,0.7%
Leeds East,"113,000","45,900",,22.1%,10.5%,14.0%,19.6%,18.0%,15.9%,,82.2%,0.6%,6.0%,3.8%,6.7%,0.7%,0.1%,,68.3%,5.7%,13.6%,7.0%,3.4%,2.0%,,34.2%,45.2%,0.3%,0.7%,0.2%,12.7%,0.9%,0.4%,5.3%,,28.0%,28.5%,16.6%,26.0%,0.9%
Leeds North East,"96,200","40,100",,20.0%,8.9%,14.4%,22.2%,18.0%,16.5%,,79.3%,0.7%,4.7%,3.5%,9.6%,2.0%,0.2%,,57.1%,6.6%,19.9%,7.2%,5.2%,4.0%,,32.7%,36.3%,0.5%,2.4%,4.1%,13.6%,4.3%,0.4%,5.7%,,31.9%,32.3%,18.8%,16.4%,0.6%
Leeds North West,"92,700","40,100",,18.7%,8.2%,11.5%,20.4%,19.6%,21.5%,,93.0%,0.4%,2.2%,1.0%,2.5%,0.5%,0.2%,,88.5%,3.2%,3.8%,0.8%,2.3%,1.4%,,41.2%,48.6%,0.3%,0.7%,0.3%,2.1%,0.8%,0.4%,5.5%,,39.1%,35.6%,12.6%,11.9%,0.8%
Leeds South,"124,000","53,600",,22.5%,12.8%,18.4%,20.2%,15.4%,10.7%,,73.2%,0.4%,10.1%,8.3%,6.8%,1.0%,0.1%,,58.8%,9.1%,10.9%,14.0%,4.0%,3.1%,,37.2%,42.7%,0.4%,1.2%,0.1%,12.1%,0.5%,0.4%,5.4%,,16.8%,19.7%,30.3%,32.2%,1.0%
Leeds South West and Morley,"95,700","42,200",,18.7%,8.9%,14.4%,20.4%,20.5%,17.1%,,92.3%,0.3%,3.2%,1.3%,2.3%,0.4%,0.1%,,87.7%,3.7%,3.8%,1.9%,2.2%,0.7%,,46.2%,44.1%,0.3%,1.1%,0.1%,1.7%,0.8%,0.4%,5.4%,,31.3%,36.1%,17.0%,15.0%,0.7%
Leeds West and Pudsey,"101,000","44,200",,19.8%,9.6%,16.4%,20.8%,18.2%,15.2%,,87.6%,0.3%,5.2%,2.3%,3.9%,0.6%,0.1%,,79.0%,5.6%,7.7%,3.4%,2.8%,1.6%,,45.1%,40.4%,0.3%,0.9%,0.2%,5.8%,1.6%,0.4%,5.3%,,25.8%,31.0%,20.5%,21.9%,0.8%
Leicester East,"125,000","39,700",,22.0%,12.0%,13.7%,21.6%,17.3%,13.5%,,49.5%,0.2%,4.5%,10.8%,34.2%,0.5%,0.1%,,17.1%,3.0%,68.8%,4.1%,2.9%,4.2%,,10.1%,14.9%,0.2%,37.6%,0.0%,25.6%,6.8%,0.5%,4.1%,,28.6%,26.1%,24.3%,20.1%,1.0%
Leicester South,"119,000","40,200",,19.1%,22.7%,15.0%,18.1%,14.5%,10.6%,,60.0%,0.4%,8.9%,8.9%,20.6%,1.2%,0.1%,,32.1%,6.9%,43.4%,9.2%,3.9%,4.5%,,23.8%,21.9%,0.3%,8.3%,0.2%,34.8%,3.7%,0.6%,6.4%,,24.3%,18.3%,34.8%,22.2%,0.5%
Leicester West,"125,000","47,500",,22.0%,14.2%,15.9%,20.8%,15.9%,11.3%,,67.2%,0.4%,13.9%,7.6%,9.8%,0.9%,0.1%,,50.3%,13.1%,18.1%,10.1%,4.6%,3.8%,,34.9%,37.2%,0.4%,7.4%,0.0%,10.5%,2.8%,0.6%,6.2%,,21.6%,21.9%,29.1%,26.6%,0.9%
Leigh and Atherton,"108,000","47,800",,18.7%,9.2%,14.0%,19.3%,20.4%,18.4%,,93.0%,0.3%,3.4%,1.3%,1.6%,0.3%,0.1%,,90.5%,3.5%,2.1%,1.6%,1.6%,0.7%,,33.0%,59.7%,0.3%,0.3%,0.0%,1.5%,0.0%,0.4%,4.8%,,31.9%,31.4%,18.3%,17.5%,0.9%
Lewes,"95,100","42,000",,16.2%,8.1%,9.2%,16.6%,21.5%,28.4%,,91.9%,0.5%,3.2%,1.3%,1.7%,1.0%,0.4%,,90.2%,4.8%,1.7%,0.6%,2.2%,0.6%,,47.2%,43.7%,0.5%,0.3%,0.3%,0.7%,0.1%,0.7%,6.5%,,45.2%,28.0%,16.3%,9.6%,0.9%
Lewisham East,"117,000","46,000",,21.0%,9.9%,15.9%,23.6%,18.9%,10.8%,,64.9%,0.9%,11.7%,8.4%,6.2%,7.5%,0.4%,,35.6%,13.1%,9.4%,28.9%,8.1%,4.8%,,31.2%,49.0%,0.8%,3.1%,0.2%,7.5%,0.3%,0.7%,7.3%,,18.0%,28.6%,24.4%,27.7%,1.2%
Lewisham North,"117,000","49,000",,17.2%,12.0%,23.9%,23.5%,15.8%,7.6%,,60.2%,1.0%,13.5%,9.4%,7.4%,7.8%,0.8%,,33.9%,16.0%,10.0%,27.1%,7.9%,5.2%,,38.8%,40.5%,1.6%,1.6%,0.3%,8.3%,0.2%,0.9%,7.9%,,11.1%,21.4%,31.7%,33.2%,2.5%
Lewisham West and East Dulwich,"99,600","41,200",,20.1%,8.0%,19.2%,25.6%,17.0%,10.2%,,71.9%,1.3%,9.3%,6.0%,4.2%,6.2%,1.1%,,48.7%,13.5%,6.0%,20.1%,8.2%,3.6%,,45.0%,39.6%,0.7%,1.1%,0.4%,5.3%,0.3%,0.7%,7.0%,,18.3%,32.1%,25.0%,23.6%,1.0%
